'Atuuk Dialog - GERMAN

GREETING_INTRODUCTION				;Hallo, lustiger Fremder! {0} wir sind.\n\nFreunde mit Ihnen, wir sind!
CANCELTREATY_RESPONSE_FRIENDLY			;Wir keine Freunde jetzt? Wir riechen schlecht? Was ist los? Sehr traurig.
CANCELTREATY_RESPONSE_NEUTRAL			;Vertrag vorbei? Also gut.
CANCELTREATY_RESPONSE_ANGRY			;Wir mögen Sie eh nicht. Sie riechen komisch und sind kein guter Jäger.\n\nGehen Sie jetzt.

TREATY_PROPOSAL					;Erzählen Sie uns vom Vertrag - wir sagen, ob er gut oder schlecht riecht.
TREATY_ACCEPTRESPONSE				;Wir machen großes Fest! Willkommen, Freunde!
TREATY_REJECTRESPONSE				;Sie verpassen viele große Feste, viel gutes Jagen. Denken Sie mehr - ändern Sie Meinung.

TRADESANCTIONS_IMPOSE				;Handelssanktionen für Sie jetzt! Keine Feste, kein Jagen mehr!\n\nWir zeigen es Ihnen!
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY		;Böse, böse! Wird Ihnen leid tun! Wütend, wütend!
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL		;Ihre Sachen riechen eh komisch. Uns nicht weh tun.
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED		;Kein Handel mehr? Wir keine Freunde jetzt?
TRADESANCTIONS_LIFT				;Wir beenden Handelssanktionen gegen Sie jetzt.\n\nSie kommen wieder jagen mit uns, wenn Sie mögen.
TRADESANCTIONS_LIFT_RESPONSE			;Ihre Sachen riechen immer noch komisch. Aber wir kaufen trotzdem wieder muffige Dinge von Ihnen.

WAR_DECLARE					;Wir erklären Ihnen KRIEG! Sie in großen Schwierigkeiten - wir jagen SIE!
WAR_DECLARE_RESPONSE_EAGER			;Wir haben keine Angst. Wir gute Jäger. Wird Ihnen leid tun.
WAR_DECLARE_RESPONSE_NEUTRAL			;Wir bereit zum Krieg. Unsere Speere sind scharf!
WAR_DECLARE_RESPONSE_SURPRISED			;Sie ganz durcheinander! Wir Freunde, feiern Feste zusammen - nicht bekriegen! Sagen Sie uns, es ist Fehler.

WAR_END						;Große Jagdzeit jetzt vorbei. Wir wollen Fest.\n\nKrieg beenden, ja?
WAR_END_ACCEPT					;Ja, wir beenden Krieg jetzt. Bereit für großes Fest.
WAR_END_REJECT					;Nein, wir haben erst angefangen zu jagen. Nicht jetzt Krieg beenden. Noch keine Zeit für Fest.

GIFT_GIVE					;Wir geben Ihnen {0} Credits. Sie können nun großes Fest feiern!
GIFT_THANKS					;Danke für Geld! Alle Sachen riechen gut!

WARNING_INTELLIGENCEMISSIONS			;Hören Sie auf, uns auszuspionieren! Wir werden wütend auf heimlich-heimlich.\n\nKein Spionzeug mehr - wir warnen Sie!
WARNING_ATTACKS					;Hören Sie auf, unsere Schiffe zu jagen! Alles riecht sehr übel.\n\nGroße Warnung: Wir jagen Sie, wenn Sie nicht aufhören.

WARNING							;Weswegen Sie uns warnen?
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY		;Keine Missionen gegen Sie. Wir nicht hinterhältig.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL		;Wirklich? Nicht gehört. Werden es überprüfen, ja?
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY		;Missionen gegen Sie? Oh ja, wir mögen Sie nicht - stinken sehr.\n\nAlso schicken wir Missionen. Vielleicht noch mehr, wenn Sie weiter stinken.
WARNING_ATTACKS_RESPONSE_FRIENDLY			;Oh, Entschuldigung. Wir haben Sie verwechselt mit jemand anders.\n\Kommt nicht wieder vor.
WARNING_ATTACKS_RESPONSE_NEUTRAL			;Das nicht gut. Wir vorsichtiger, ja?
WARNING_ATTACKS_RESPONSE_ANGRY				;Angriffe auf Sie? Ja - wir mögen Sie nicht.\n\nWir greifen weiter an, wenn Sie sich nicht benehmen, verstanden?
